,,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR,RRC_SETUP_SR
FRAGMENT_DATE,,2021-02-12 00:00:00,2021-02-13 00:00:00,2021-02-14 00:00:00,2021-02-15 00:00:00,2021-02-16 00:00:00,2021-02-17 00:00:00,2021-02-18 00:00:00,2021-02-19 00:00:00,2021-02-20 00:00:00,2021-02-21 00:00:00
ENODEB_NAME,CELL_NAME,,,,,,,,,,
GL22_04213_Koseomer,L0421325O226373372,99.12,98.81,93.13,98.82,99.29,98.64,98.85,99.27,99.04,98.44
GL22_04221_Yaylakoy,L0422115O226373571,99.0,98.88,98.21,93.61,99.22,99.36,99.15,96.98,98.62,98.94
GL22_04221_Yaylakoy,L0422125O226373532,99.81,99.87,99.95,99.91,98.5,99.23,99.7,99.69,99.95,99.83
GL22_04221_Yaylakoy,L0422125O226373572,99.0,99.8,99.73,99.91,99.96,99.6,99.92,99.97,99.83,99.29
GL22_04221_Yaylakoy,L0422135O226373533,99.55,99.83,99.82,100.0,99.75,100.0,100.0,99.56,99.75,99.7
GL22_04221_Yaylakoy,L0422135O226373573,100.0,99.72,99.45,100.0,99.38,98.71,99.66,99.03,99.04,99.56
GL22_04221_Yaylakoy,L0422135O226373583,100.0,100.0,100.0,99.98,99.98,99.98,100.0,99.97,99.94,99.91
GL22_04222_Erikli,L0422215O226373631,99.56,99.83,99.98,99.86,99.96,100.0,99.69,99.89,99.81,99.88
GL22_04222_Erikli,L0422215O226373671,96.62,95.2,99.63,97.96,98.26,97.64,93.83,94.64,97.34,98.72
GL22_04222_Erikli,L0422225O226373672,99.4,99.81,99.96,99.91,99.91,99.8,100.0,99.84,99.65,99.88
GL22_04226_Meric,L0422635O226373873,98.89,97.44,98.29,98.55,99.3,99.13,99.49,98.15,98.34,99.28
GL22_04234_Akcadam_SE,L0423425O226374472,98.37,98.87,99.59,99.42,99.72,99.21,99.63,95.73,97.22,97.29
GL22_04235_HASKOY,L0423515O226374571,98.48,99.43,99.52,99.7,99.73,99.6,99.45,99.56,99.55,99.41
GL22_04241_SACLI_MUSELLIM_J,L0424115O226374971,96.52,97.87,99.12,97.65,98.97,98.27,98.96,98.18,99.29,98.96
GL22_04243_Esetce,L0424315O226375071,98.83,98.85,98.68,98.82,98.66,98.65,98.29,98.71,98.54,97.93
GL22_06215_Vakif,L0621525O226375632,100.0,100.0,99.94,100.0,100.0,100.0,99.95,99.91,100.0,99.93
GL22_06221_Copkoy,L0622125O226375972,99.38,99.62,99.39,99.37,99.24,99.24,99.42,99.34,90.46,99.69
GL22_06222_TemArslanli,L0622215O226376071,98.71,95.14,99.98,99.91,99.96,94.79,87.6,99.63,90.45,96.65
GL22_06222_TemArslanli,L0622235O226376073,96.23,93.42,98.37,99.74,98.79,94.11,91.71,91.62,93.23,99.08
GL22_0B918_Suloglu,L0B91835O226381973,100.0,99.95,94.02,99.41,99.93,99.95,99.89,99.94,99.87,99.83
