,ENODEB_NAME,CELL_NAME,# of ERAB<%96,# of CSFB<%96,# of RRC<%96,# of E2E<%96,# of ERAB<%98,# of CSFB<%98,# of RRC<%98,# of E2E<%98,DCR_VOLTE_V5R,TOTAL96,TOTAL98,TOTAL
0,SR34_00131_GULTEPE_MAH,L0013115O346008611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
1,SR34_00131_GULTEPE_MAH,L0013135O346008633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SR34_00131_GULTEPE_MAH,L0013115O346008651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SR34_00131_GULTEPE_MAH,L0013135O346008653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SR34_00131_GULTEPE_MAH,L0013135O346008673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,SR34_00273_ARNAVUTKOY_JP,L0027315O346017711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SR34_00273_ARNAVUTKOY_JP,L0027335O346017713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,SR34_00273_ARNAVUTKOY_JP,L0027325O346017732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,SR34_00273_ARNAVUTKOY_JP,L0027335O346017753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SR34_00273_ARNAVUTKOY_JP,L0027325O346017782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,SR34_00302_TEPECIK_ISTIKLAL,L0030225O346019932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,SR34_01005_CINILI,L0100525O345701012,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0
12,SR34_01088_KARTALMERKEZ,L0108825O345706712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
13,SR34_01088_KARTALMERKEZ,L0108825O345706732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,SR34_01099_KOZYATAGIGISELER,L0109945O345707434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,SR34_01670_ATASEHIRTT,L0167025O345738212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16,SR34_01670_ATASEHIRTT,L0167035O345738213,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
17,SR34_01670_ATASEHIRTT,L0167025O345738252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SR34_0A418_BASAKSEHIR_TT,L0A41835O346088213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
19,SR34_0A418_BASAKSEHIR_TT,L0A41835O346088253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,SR34_0A581_ARNAVUTKOY_II_JP,L0A58125O346102332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,SR34_0A581_ARNAVUTKOY_II_JP,L0A58115O346102371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,SR34_0A838_UGURMUMCU_3,L0A83835O346121453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,SR34_0A838_UGURMUMCU_3,L0A83825O346121472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,SR34_0A838_UGURMUMCU_3,L0A83815O346121481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,SR34_0A910_GGR_TINAZTEPE,L0A91035O346125613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,SR34_0A910_GGR_TINAZTEPE,L0A91035O346125633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,SR34_0C441_LEVENT_SUMBUL,L0C44115O346167711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,SR34_0C441_LEVENT_SUMBUL,L0C44135O346167773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,SR34_0C441_LEVENT_SUMBUL,L0C44115O346167781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,SR34_0E289_MECIDIYEKOY_MEZARLIK,L0E28915O346190531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
31,SR34_A1271_YAKACIKMRKZ,LA127115O345751731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,SR34_A1573_ALEMDAGCAD,LA157315O345768731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,SR34_A1573_ALEMDAGCAD,LA157335O345768783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SR34_C1139_CAVUSBASIVILLA,LC113935O345798583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
